title,authors,genre,subjects,avg_rating,ratings_count,year,pages,isbn,source,content,publication_year
Understanding Comics,Scott McCloud,Art,Illustrations; Technique; Cartooning; Comics; Comic Books; Art,4.1923075,26.0,1993.0,215.0,0878162437,OpenLibraryAPI,Understanding Comics Scott McCloud Art Illustrations; Technique; Cartooning; Comics; Comic Books; Art,
Tintenherz,Cornelia Funke,Art,Fathers and daughters; Characters in literature; Magic; Storytelling; Fantasy; Bookbinding,3.9803922,51.0,2003.0,548.0,9789955247852,OpenLibraryAPI,Tintenherz Cornelia Funke Art Fathers and daughters; Characters in literature; Magic; Storytelling; Fantasy; Bookbinding,
Nine Stories,J. D. Salinger,Art,Fiction; Water Microbiology; Social life and customs; Manners and customs; Laboratory manuals; Short stories,4.1034484,29.0,1948.0,198.0,9780140237535,OpenLibraryAPI,Nine Stories J. D. Salinger Art Fiction; Water Microbiology; Social life and customs; Manners and customs; Laboratory manuals; Short stories,
Henry Moore,"David Sylvester, Henry Moore, J. Hedgecoe, Alan Bowness, Herbert Edward Read, Ann Garrould",Art,"Sculpture, British; Catalogues raisonnés; Mothers in art; Coal miners in art; Interviews; Modern Sculpture",4.388889,18.0,1934.0,119.0,9781853320552,OpenLibraryAPI,"Henry Moore David Sylvester, Henry Moore, J. Hedgecoe, Alan Bowness, Herbert Edward Read, Ann Garrould Art Sculpture, British; Catalogues raisonnés; Mothers in art; Coal miners in art; Interviews; Modern Sculpture",
Il mistero del rubino d'Oriente,Elisabetta Dami,Art,Motion pictures; Adventure and adventurers; Production and direction; Mice; Stealing; Fiction,4.6666665,12.0,2009.0,128.0,9789386313164,OpenLibraryAPI,Il mistero del rubino d'Oriente Elisabetta Dami Art Motion pictures; Adventure and adventurers; Production and direction; Mice; Stealing; Fiction,
The Murders in the Rue Morgue,Edgar Allan Poe,Art,"Murder; Fiction; American Detective and mystery stories; C. Auguste Dupin (Fictitious character); Fiction, mystery & detective, general; Dupin, auguste (fictitious character), fiction",4.2380953,21.0,1841.0,42.0,1540896323,OpenLibraryAPI,"The Murders in the Rue Morgue Edgar Allan Poe Art Murder; Fiction; American Detective and mystery stories; C. Auguste Dupin (Fictitious character); Fiction, mystery & detective, general; Dupin, auguste (fictitious character), fiction",
At Home,Bill Bryson,Art,cosmetics; history of cotton; spinning jenny; corsets; Victorian fashion; nurseries,3.9705882,34.0,2010.0,637.0,1409095568,OpenLibraryAPI,At Home Bill Bryson Art cosmetics; history of cotton; spinning jenny; corsets; Victorian fashion; nurseries,
The Devil's Dictionary,Ambrose Bierce,Art,Humor; English language; Semantics; Vocabulary; Dictionaries; American wit and humor,4.357143,14.0,1840.0,228.0,9787540706548,OpenLibraryAPI,The Devil's Dictionary Ambrose Bierce Art Humor; English language; Semantics; Vocabulary; Dictionaries; American wit and humor,
Extremely Loud and Incredibly Close,Jonathan Safran Foer,Art,Literature; Fathers and sons; nyt:combined_print_fiction=2012-03-03; Gifted persons; Fiction; Loss (Psychology),4.0,36.0,2005.0,364.0,9780547416212,OpenLibraryAPI,Extremely Loud and Incredibly Close Jonathan Safran Foer Art Literature; Fathers and sons; nyt:combined_print_fiction=2012-03-03; Gifted persons; Fiction; Loss (Psychology),
On The Come Up,Angie Thomas,Art,African American young adult fiction; people & places; young adult fiction; social themes; Homelessness & Poverty; performing arts,4.5,12.0,2019.0,456.0,9781406372168,OpenLibraryAPI,On The Come Up Angie Thomas Art African American young adult fiction; people & places; young adult fiction; social themes; Homelessness & Poverty; performing arts,
Dinotopia,"James Gurney, James Gurney",Art,"Fiction; Dinosaurs; Adventure and adventurers; Fantastic, The, in art; Fantasy; Islands",4.5,12.0,1992.0,159.0,9780590471824,OpenLibraryAPI,"Dinotopia James Gurney, James Gurney Art Fiction; Dinosaurs; Adventure and adventurers; Fantastic, The, in art; Fantasy; Islands",
La Sonrisa De Mona Ratisa,Elisabetta Dami,Art,Children's fiction; Ciphers; Geronimo Stilton (Fictitious character); Juvenile fiction; Adventure and adventurers; Fiction,4.875,8.0,1999.0,124.0,9782226140418,OpenLibraryAPI,La Sonrisa De Mona Ratisa Elisabetta Dami Art Children's fiction; Ciphers; Geronimo Stilton (Fictitious character); Juvenile fiction; Adventure and adventurers; Fiction,
The Book,Hungry Minds,Art,Art; Long Now Manual for Civilization; Survival; Technology; Engineering,4.428571,14.0,2022.0,411.0,9780578377452,OpenLibraryAPI,The Book Hungry Minds Art Art; Long Now Manual for Civilization; Survival; Technology; Engineering,
Don't Make Me Think,Steve Krug,Art,Web sites; Web site development; Design; Evaluation; Publishing; Internet,4.1666665,18.0,2000.0,201.0,0789723107,OpenLibraryAPI,Don't Make Me Think Steve Krug Art Web sites; Web site development; Design; Evaluation; Publishing; Internet,
Legendary,Stephanie Garber,Art,Serie:Caraval; Performing arts; Criminals; Fantasy; Arranged marriage; Juvenile fiction,4.25,16.0,2018.0,451.0,9781473629196,OpenLibraryAPI,Legendary Stephanie Garber Art Serie:Caraval; Performing arts; Criminals; Fantasy; Arranged marriage; Juvenile fiction,
Public Speaking and Influencing Men in Business,Dale Carnegie,Art,Arte de hablar en público; Mongolian literature; Oratory; Public speaking; Business presentations; Art de parler en public,4.285714,14.0,1926.0,273.0,9568356150,OpenLibraryAPI,Public Speaking and Influencing Men in Business Dale Carnegie Art Arte de hablar en público; Mongolian literature; Oratory; Public speaking; Business presentations; Art de parler en public,
Vincent van Gogh,"Vincent van Gogh, Colta Ives, Sjraar van Heugten, Marije Vellekoop, Ingo F. Walther, Rainer Metzger, Louis van Tilborgh, Johannes von Uitert, Schapiro, Meyer",Art,Catalogues raisonnés; Correspondence; Catalogs; Exhibitions; Dutch Painting; Painters,4.1904764,21.0,1914.0,116.0,3822896438,OpenLibraryAPI,"Vincent van Gogh Vincent van Gogh, Colta Ives, Sjraar van Heugten, Marije Vellekoop, Ingo F. Walther, Rainer Metzger, Louis van Tilborgh, Johannes von Uitert, Schapiro, Meyer Art Catalogues raisonnés; Correspondence; Catalogs; Exhibitions; Dutch Painting; Painters",
Romeo and Juliet,William Shakespeare,Art,Classical Literature; British and irish drama (dramatic works by one author); Conflicto entre generaciones; Conflict of generations; courtship; Drama,3.6650717,209.0,1597.0,169.0,0521735750,OpenLibraryAPI,Romeo and Juliet William Shakespeare Art Classical Literature; British and irish drama (dramatic works by one author); Conflicto entre generaciones; Conflict of generations; courtship; Drama,
Leonardo,"Leonardo da Vinci, Kunster, Erfinder, Wissenschaftler, Michael Desmond, Carlo Pedretti",Art,Exhibitions; Knowledge; Early works to 1800; Windsor Castle; Biblioteca ambrosiana; Catalogs,3.9487178,39.0,1946.0,140.0,8878139629,OpenLibraryAPI,"Leonardo Leonardo da Vinci, Kunster, Erfinder, Wissenschaftler, Michael Desmond, Carlo Pedretti Art Exhibitions; Knowledge; Early works to 1800; Windsor Castle; Biblioteca ambrosiana; Catalogs",
Angels & Demons,Dan Brown,Art,heparin; ambigrams; antimatter; Freemasons; Swiss Guard; Murder,3.6387832,263.0,2000.0,576.0,9788417031275,OpenLibraryAPI,Angels & Demons Dan Brown Art heparin; ambigrams; antimatter; Freemasons; Swiss Guard; Murder,
The Opal Deception,Eoin Colfer,Art,Fiction; Magic; Adventure and adventurers; Fairies; Literature; Art thefts,4.0526314,19.0,2005.0,352.0,0141381698,OpenLibraryAPI,The Opal Deception Eoin Colfer Art Fiction; Magic; Adventure and adventurers; Fairies; Literature; Art thefts,
Sons and Lovers,D. H. Lawrence,Art,Fiction; England in fiction; Working class families; Young men in fiction; Working class families in fiction; Young men,4.5,10.0,1913.0,491.0,9798475526811,OpenLibraryAPI,Sons and Lovers D. H. Lawrence Art Fiction; England in fiction; Working class families; Young men in fiction; Working class families in fiction; Young men,
Crucial Conversations,"Kerry Patterson, Joseph Grenny, Ron McMillan, Al Switzler, Stephen R. Covey",Art,Nonfiction; Business; Communication; Gespräch; Business Communication; Communication interpersonnelle,4.0,25.0,2001.0,272.0,9780071772204,OpenLibraryAPI,"Crucial Conversations Kerry Patterson, Joseph Grenny, Ron McMillan, Al Switzler, Stephen R. Covey Art Nonfiction; Business; Communication; Gespräch; Business Communication; Communication interpersonnelle",
How to Talk to Anyone,Leil Lowndes,Art,Interpersonal communication; Self-Improvement; Body language; Nonfiction; Nonverbal communication; Communication interpersonnelle,3.8474576,59.0,1999.0,352.0,9780722538074,OpenLibraryAPI,How to Talk to Anyone Leil Lowndes Art Interpersonal communication; Self-Improvement; Body language; Nonfiction; Nonverbal communication; Communication interpersonnelle,
Sfida a ritmo di danza,Elisabetta Dami,Art,"Dance; Auditions; Performing arts; Fiction; Child and youth fiction; Romans, nouvelles, etc. pour la jeunesse",4.3333335,15.0,2010.0,115.0,9788856611090,OpenLibraryAPI,"Sfida a ritmo di danza Elisabetta Dami Art Dance; Auditions; Performing arts; Fiction; Child and youth fiction; Romans, nouvelles, etc. pour la jeunesse",
Finale,Stephanie Garber,Art,"Children's fiction; Sisters, fiction; Games, fiction; Fantasy fiction; Performing arts, fiction; nyt:series-books=2019-05-26",4.3333335,12.0,2018.0,480.0,9781473666771,OpenLibraryAPI,"Finale Stephanie Garber Art Children's fiction; Sisters, fiction; Games, fiction; Fantasy fiction; Performing arts, fiction; nyt:series-books=2019-05-26",
